Height,Weight
66.24,167.30
69.65,198.84
69.29,178.79
70.73,193.54
68.83,197.74
66.01,184.46
66.41,155.19
66.62,160.99
68.03,189.08
70.50,172.99
69.16,195.90
70.80,215.75
65.19,166.71
74.79,239.46
71.07,184.28
69.33,199.98
69.90,191.41
64.43,169.11
67.85,194.74
67.55,183.27
74.77,210.37
71.42,198.04
67.12,172.66
69.86,197.07
68.43,190.51
67.93,184.56
68.50,179.93
65.24,159.50
70.19,197.88
71.10,217.27
68.45,187.91
65.42,176.86
67.70,185.15
74.22,223.31
71.17,206.94
67.23,171.02
67.88,175.22
67.38,173.31
68.76,181.13
71.71,202.61
69.38,199.85
73.72,223.51
69.45,219.26
70.79,211.22
71.77,200.80
69.34,208.81
65.29,161.42
70.92,207.84
68.60,180.83
68.60,176.82
69.48,194.60
65.93,163.01
68.52,173.27
73.93,215.62
71.20,210.13
66.56,185.04
71.74,187.97
69.74,188.18
66.75,179.54
69.69,211.72
70.40,197.69
69.02,186.29
64.73,166.11
71.00,188.81
64.46,161.38
69.75,193.48
71.53,189.28
68.33,207.78
70.76,199.32
71.42,209.86
69.39,180.18
72.00,196.21
69.19,189.44
66.17,165.51
67.27,182.39
70.92,189.56
69.12,189.63
67.41,170.19
72.94,216.10
70.49,177.07
69.01,196.05
66.76,167.70
69.12,179.61
73.13,220.66
67.49,164.30
64.96,156.54
67.78,183.68
67.66,170.31
66.48,168.63
72.99,209.64
69.56,195.35
71.00,194.32
69.92,219.37
71.70,205.16
67.65,178.88
68.30,181.72
68.69,203.56
68.92,165.16
68.96,197.93
67.25,173.28
68.92,183.95
65.84,139.53
64.67,160.19
66.30,163.60
67.10,193.96
67.00,189.89
70.96,184.22
68.42,190.80
67.65,188.20
75.62,226.21
70.55,197.88
68.89,190.51
68.28,176.25
65.00,177.73
65.58,173.69
69.31,210.46
65.70,170.10
67.80,173.46
69.22,184.94
68.02,194.29
61.93,149.15
67.27,192.47
67.68,179.75
69.97,202.86
65.31,163.36
71.91,217.03
66.23,183.16
65.81,166.58
72.84,205.25
70.95,189.70
71.34,218.59
71.06,203.14
61.93,139.91
68.76,196.29
67.58,179.94
67.36,164.15
65.88,168.17
68.69,189.74
69.53,195.17
66.63,190.47
69.81,204.43
68.68,196.15
71.62,209.67
69.69,190.93
70.90,197.94
68.01,186.78
70.62,188.66
71.57,176.38
73.01,209.33
60.75,136.17
69.08,190.94
69.34,191.45
67.76,184.94
76.03,232.31
72.23,201.78
68.92,188.33
65.33,174.66
65.93,183.94
70.47,187.52
73.18,213.85
68.55,175.22
68.53,169.54
63.60,144.59
67.14,175.68
70.82,197.20
73.53,222.93
66.14,165.40
67.91,170.42
71.43,216.63
67.11,173.71
73.28,217.90
63.67,161.01
69.23,193.76
69.67,177.12
70.49,204.83
69.00,176.73
68.46,192.76
66.02,166.96
69.32,186.74
69.08,188.51
73.56,208.36
66.09,161.50
73.53,214.97
69.68,205.13
66.68,183.20
72.96,208.90
68.25,207.93
71.96,210.66
71.06,204.27
66.98,195.20
68.48,190.69
71.28,199.64
64.98,166.82
66.76,178.80
68.77,185.77
68.99,193.75
71.30,228.80
69.05,192.35
66.54,175.98
68.52,176.14
67.46,177.48
71.36,201.76
68.59,176.84
69.74,185.52
69.83,188.04
72.41,189.38
65.43,166.10
66.27,170.25
69.97,212.80
71.21,196.15
69.94,202.28
71.39,201.33
64.59,158.45
68.79,174.49
68.45,183.78
69.20,188.10
69.43,176.19
69.61,194.20
72.88,194.20
62.18,145.90
68.87,191.83
71.08,209.85
72.18,201.26
72.06,208.78
67.38,182.67
67.93,166.44
70.80,193.39
65.55,178.45
70.19,205.94
71.78,199.21
68.13,192.03
68.36,175.26
66.09,170.01
71.58,205.35
73.54,196.04
71.12,208.15
70.79,202.89
71.73,188.60
63.20,162.43
68.10,182.85
65.86,157.32
68.35,178.68
69.56,187.22
68.73,171.62
70.16,200.53
68.92,193.93
64.30,155.49
70.46,192.53
68.62,159.86
69.66,176.26
69.06,171.71
67.23,181.71
66.12,171.39
68.62,179.13
69.25,187.47
69.64,182.00
72.80,214.47
75.04,208.53
70.97,190.22
74.39,217.14
64.36,156.07
71.33,206.39
67.17,178.15
74.40,228.84
63.87,174.47
68.89,164.21
72.13,212.16
68.40,206.01
65.09,167.43
69.23,195.22
71.95,209.18
67.46,182.30
69.31,190.19
63.73,160.34
60.68,129.30
70.66,195.63
67.59,186.75
74.65,227.50
70.47,197.19
71.94,209.56
74.03,209.76
70.78,220.44
64.73,169.21
68.38,185.85
71.47,192.69
66.94,177.03
70.80,199.95
65.29,168.71
61.75,123.53
62.48,160.24
67.81,197.08
69.53,161.97
72.50,201.66
70.49,194.79
66.69,162.57
71.29,175.81
71.80,209.38
73.06,204.46
68.85,210.87
66.05,169.33
73.99,223.33
69.25,192.95
69.34,172.90
70.98,191.57
63.56,157.12
69.77,182.80
65.19,151.89
69.98,193.34
69.75,185.43
71.17,195.38
70.57,174.20
65.65,164.65
67.14,163.85
65.92,174.72
73.79,212.90
67.74,172.79
65.54,171.98
71.21,195.92
65.59,174.82
65.67,174.57
61.97,140.28
73.90,215.56
72.34,215.86
70.31,184.24
67.12,168.20
65.93,151.38
67.23,185.97
70.11,203.24
74.84,223.95
64.53,148.47
70.05,207.19
71.83,205.19
72.84,209.42
73.30,199.17
66.39,165.06
66.52,180.76
69.27,202.30
68.23,195.26
70.41,184.23
69.73,188.45
65.51,157.21
69.14,196.55
73.67,208.37
65.89,158.18
68.35,184.60
70.42,197.91
72.08,202.87
71.71,199.08
65.73,156.22
63.90,168.30
70.32,201.51
65.79,174.58
69.83,196.93
68.33,197.76
67.74,165.64
75.03,232.89
73.40,192.73
69.55,192.18
64.54,157.13
67.55,163.50
73.10,205.16
66.55,171.43
73.99,208.96
70.86,209.76
71.57,206.26
65.84,177.21
70.28,211.72
61.77,149.51
74.82,220.34
71.61,192.43
67.26,163.39
70.92,199.78
75.06,218.58
73.10,223.21
70.66,217.95
67.14,171.21
67.12,147.54
69.52,170.04
65.22,160.84
68.41,185.13
68.76,177.08
67.94,188.88
69.24,159.24
68.47,188.08
65.69,150.96
69.43,172.33
66.14,166.36
70.88,186.34
65.97,187.66
64.94,163.88
68.37,196.95
69.53,189.71
66.46,188.97
69.47,177.34
68.73,184.13
73.78,221.24
76.50,217.88
71.23,199.18
64.51,164.50
66.50,163.27
69.21,187.62
63.55,150.35
69.73,202.71
68.61,181.72
71.46,206.59
69.51,203.99
73.76,231.61
68.28,195.19
72.45,200.29
70.77,195.35
70.45,188.10
68.90,194.66
69.24,197.41
67.28,156.42
71.46,207.77
68.84,171.92
71.41,216.92
70.14,190.59
70.68,206.12
68.54,201.11
71.43,206.59
65.22,158.99
70.77,208.22
69.76,187.81
63.96,168.35
70.30,196.84
70.32,205.52
67.41,164.57
67.12,167.19
68.38,169.00
69.58,184.22
62.53,168.15
69.34,184.12
66.79,172.18
75.39,218.60
70.21,189.66
71.10,196.76
69.79,181.72
66.47,175.39
70.71,208.71
63.62,162.67
70.55,191.32
67.40,192.67
71.44,213.34
68.59,187.40
71.45,203.45
70.70,189.99
71.39,197.31
70.49,193.36
74.41,226.70
63.40,185.19
68.40,171.33
67.43,175.12
70.81,196.22
67.11,194.75
67.73,184.47
68.55,179.56
68.62,192.61
70.61,197.34
67.09,164.18
65.31,167.33
69.92,185.87
68.36,193.98
70.87,205.86
76.01,235.44
67.97,176.97
69.77,199.03
69.57,200.70
71.56,213.98
70.96,201.66
65.44,144.13
70.98,202.60
67.99,183.96
70.52,199.57
69.11,176.05
71.61,194.93
69.89,203.52
66.46,166.68
70.29,207.51
62.62,152.85
66.62,146.23
65.35,156.76
71.61,209.96
69.41,183.90
69.89,200.80
65.67,164.22
64.41,154.64
68.63,189.45
69.60,176.59
67.45,173.27
68.17,185.25
69.55,203.81
65.75,182.05
73.12,201.70
66.62,177.84
69.15,202.63
65.97,186.23
67.20,185.45
65.45,175.84
73.03,209.59
68.32,179.37
66.33,165.37
72.36,198.26
67.72,184.93
70.48,200.25
71.16,199.44
69.35,202.33
70.10,201.99
69.30,197.36
63.31,157.00
67.89,183.34
73.20,203.02
73.14,193.93
70.90,195.60
72.14,214.85
72.13,184.15
71.21,193.74
66.25,170.11
72.34,205.70
68.07,166.26
71.40,198.41
65.73,169.68
67.11,160.05
72.22,204.94
63.01,147.90
69.57,180.95
70.40,217.84
68.03,189.36
69.78,176.09
62.08,130.28
65.83,159.32
70.78,191.97
69.57,182.15
67.33,188.35
67.81,191.76
66.68,162.77
69.64,197.60
64.77,182.59
73.96,200.01
67.93,184.41
66.77,165.49
68.94,176.65
76.43,228.87
69.00,180.35
73.50,225.97
69.60,189.82
72.07,202.26
70.49,178.92
67.03,167.04
66.18,172.64
68.69,179.96
66.65,160.15
69.84,178.39
66.25,154.59
72.81,208.85
64.47,169.43
69.75,181.64
70.66,203.84
72.47,184.45
68.17,199.70
72.99,206.63
70.53,196.58
70.05,190.00
69.02,196.76
73.55,222.30
68.12,180.07
68.29,178.43
71.53,202.75
73.40,220.95
69.84,198.63
70.15,203.73
66.30,150.15
76.49,227.14
71.03,186.76
66.63,170.42
66.08,182.43
70.61,187.47
65.20,158.66
66.86,175.80
73.76,220.77
69.90,195.76
69.53,189.03
66.74,154.13
69.07,179.39
68.56,172.20
70.32,190.46
71.95,208.09
70.92,191.88
70.37,197.38
67.80,189.68
68.70,208.07
69.11,188.72
67.70,187.42
71.28,217.90
71.43,201.84
71.04,204.63
64.73,143.35
67.15,182.03
72.29,202.10
70.24,192.80
64.46,158.92
74.46,213.48
65.30,162.82
72.75,212.18
65.72,155.18
68.89,194.68
73.04,209.48
69.86,198.32
69.86,179.66
71.77,192.69
66.82,179.80
67.79,190.51
69.25,196.14
68.93,180.83
69.00,186.64
66.37,167.78
66.38,179.47
69.05,181.36
65.67,161.42
62.75,149.76
66.58,161.20
67.27,187.36
69.84,176.01
74.22,238.57
71.23,209.03
70.76,194.80
67.88,163.72
67.11,182.51
66.54,175.09
67.09,180.88
68.89,172.65
71.88,207.58
70.53,194.01
69.21,187.87
66.85,161.22
77.16,228.71
68.20,176.46
66.80,186.99
74.07,218.42
69.69,184.62
70.48,199.36
66.20,164.63
71.86,193.43
65.98,171.08
72.68,217.56
69.81,188.06
69.04,178.18
63.85,152.00
64.91,145.18
65.05,147.66
68.87,183.44
69.98,178.35
62.71,152.82
66.92,173.63
67.27,180.04
72.12,200.34
69.61,170.30
65.18,166.74
74.08,194.78
61.12,152.79
68.32,206.43
63.95,164.77
68.58,181.17
64.93,185.00
69.66,209.52
71.12,197.35
62.80,148.61
70.81,201.22
69.55,199.19
67.03,188.46
67.40,178.30
69.37,173.43
74.55,218.44
66.56,173.39
67.26,186.32
66.00,165.17
67.28,203.14
67.92,161.67
66.06,164.47
65.84,170.79
69.03,170.31
70.33,192.50
66.53,166.37
71.47,196.54
70.05,183.62
68.61,187.29
68.98,178.28
73.79,222.40
69.07,190.59
73.19,204.10
68.68,192.20
64.92,179.41
66.11,192.77
67.75,169.74
71.81,192.82
69.20,185.73
67.41,188.59
69.88,179.68
64.37,162.50
67.49,183.38
73.12,221.45
67.65,188.89
68.54,191.82
70.72,214.26
68.23,182.38
67.70,163.94
73.72,198.46
68.86,187.40
66.47,175.95
69.97,188.63
67.56,200.78
74.27,209.94
72.09,201.86
69.57,182.79
71.61,206.16
67.14,171.88
68.42,171.32
78.10,255.69
68.64,178.82
70.03,186.36
74.33,220.85
72.23,202.14
67.67,193.08
66.42,157.29
65.07,180.76
69.16,206.52
67.81,180.00
68.24,193.98
72.55,203.63
74.06,211.73
73.24,201.10
72.84,212.20
68.27,167.91
70.07,207.09
71.74,185.84
68.67,172.85
70.18,184.72
66.95,182.37
67.68,188.31
67.90,168.68
67.20,173.49
67.00,178.06
66.03,174.06
67.81,192.07
71.45,191.18
70.08,189.60
73.72,210.22
66.39,159.38
68.20,189.87
68.28,176.18
65.94,177.29
66.87,170.32
66.20,165.93
73.30,232.25
69.29,206.88
71.77,200.36
63.64,163.26
72.16,188.91
72.00,207.54
68.17,173.46
69.08,189.86
67.19,169.89
63.62,160.79
71.72,211.01
70.48,193.86
72.87,217.34
68.16,176.74
69.68,203.32
63.00,165.56
71.76,211.74
71.63,201.50
71.06,200.68
70.12,189.53
70.45,206.50
68.54,173.30
71.33,221.12
67.18,169.83
73.11,219.79
70.89,182.89
71.91,198.08
73.57,216.62
69.80,203.26
70.63,185.25
66.31,148.27
70.27,192.31
70.98,206.52
70.32,181.79
71.51,212.73
71.00,195.96
66.70,155.13
72.66,207.51
66.51,181.94
66.58,164.12
66.72,185.31
69.30,178.18
68.32,178.41
65.80,162.03
70.12,217.43
69.06,189.81
70.91,197.22
66.75,178.38
68.59,178.05
70.97,184.98
63.18,153.61
69.90,221.90
67.73,175.56
71.09,198.83
70.12,189.28
65.79,166.28
71.51,202.52
71.72,220.27
71.45,213.34
69.39,171.33
70.15,191.57
72.11,200.70
71.62,208.76
69.21,172.78
71.11,188.84
67.07,187.57
76.00,224.44
67.99,170.28
69.38,197.28
71.42,195.36
70.47,198.42
71.86,196.35
72.72,195.36
72.92,213.92
71.76,201.32
74.67,227.46
67.32,157.03
70.56,192.26
65.18,169.46
69.73,197.64
71.75,215.94
68.97,173.29
65.04,163.00
70.02,208.61
71.03,202.04
72.87,229.74
71.92,202.61
73.97,227.02
65.66,166.44
70.86,187.11
68.16,181.05
67.18,175.35
70.86,197.73
63.81,166.46
66.95,166.44
70.28,187.26
70.32,186.07
70.57,205.05
69.29,189.46
74.39,210.14
66.89,186.20
73.62,206.49
69.09,189.21
67.54,168.76
62.92,144.17
68.85,187.58
69.61,193.64
69.52,185.35
69.11,188.25
66.82,166.17
71.11,202.36
67.76,191.54
66.56,162.02
67.10,175.96
69.58,193.37
72.28,192.69
69.21,186.18
69.03,198.01
65.44,167.73
68.47,200.01
71.96,199.98
73.76,217.22
70.53,194.30
69.01,190.51
73.61,236.78
68.49,181.21
64.09,151.64
67.97,170.72
70.83,197.39
71.65,200.29
67.31,158.44
68.24,186.42
65.48,166.65
70.71,204.76
67.18,174.58
67.75,178.58
68.45,185.38
72.30,194.72
65.40,159.61
65.64,162.69
69.44,180.14
68.00,171.92
71.69,191.90
73.60,219.51
67.28,176.31
72.12,215.44
68.62,194.12
65.23,167.12
66.33,166.08
70.08,216.62
66.64,171.28
72.97,204.49
74.76,209.72
65.85,187.55
66.60,162.56
68.24,184.29
69.64,191.36
65.25,156.01
66.58,181.23
68.26,201.87
69.01,170.17
70.06,192.05
71.08,178.54
71.10,185.83
68.54,180.67
69.02,177.95
66.89,187.58
68.89,197.64
68.37,195.12
66.21,182.95
64.69,157.02
67.99,172.52
64.74,150.05
70.08,203.16
66.47,164.32
72.17,186.19
64.59,158.37
74.40,223.83
71.29,190.08
65.38,158.07
68.07,170.99
64.70,155.66
69.59,191.53
72.43,228.97
66.73,164.91
68.67,178.17
69.56,199.49
72.77,211.16
69.48,203.02
69.42,185.36
65.81,149.24
71.68,214.26
66.35,160.37
66.47,180.46
70.48,197.03
68.10,186.21
65.83,165.59
69.20,201.30
72.88,201.33
67.78,190.73
70.03,193.09
71.35,213.31
71.47,209.96
69.21,181.21
68.03,170.65
71.97,229.51
71.34,199.74
72.39,201.41
60.36,134.15
70.46,189.63
71.71,193.11
70.54,185.47
73.12,206.90
62.06,175.07
69.08,176.56
71.51,209.38
70.58,205.71
65.03,154.84
67.92,196.45
68.89,176.19
70.71,198.76
64.58,150.18
70.97,179.23
68.80,187.05
65.41,142.59
65.21,163.63
69.93,185.43
66.90,168.86
67.26,165.26
68.51,164.50
67.76,186.10
66.39,165.50
70.21,193.95
68.70,193.51
70.77,204.44
74.96,221.16
66.36,173.36
66.08,171.29
66.84,170.08
72.17,204.58
68.26,190.39
69.45,178.68
70.43,189.91
72.39,199.57
69.23,185.92
67.10,165.37
70.34,177.47
72.39,189.17
70.58,206.43
67.40,199.68
73.44,226.23
67.20,174.44
74.03,215.29
68.90,175.44
63.87,168.08
68.07,185.53
67.78,179.86
69.52,189.62
68.40,182.26
68.88,181.51
69.77,194.60
65.72,174.41
66.23,180.90
62.77,163.19
67.13,177.72
69.90,181.45
67.69,177.91
69.60,191.03
69.70,177.15
67.44,159.81
68.14,188.15
70.49,208.76
70.98,192.11
71.24,220.26
68.49,186.41
69.29,197.19
64.60,140.20
68.70,180.22
68.29,176.01
65.71,167.83
67.85,153.03
67.41,162.82
66.10,163.64
67.61,190.42
66.25,191.64
67.73,175.21
69.04,184.04
78.46,227.34
70.62,198.39
70.40,193.86
67.87,176.90
70.85,185.35
67.90,192.65
74.72,207.30
68.38,179.16
75.75,226.50
71.03,186.23
70.75,202.74
76.29,233.50
69.60,192.11
69.57,194.98
69.58,196.14
65.83,157.61
67.80,184.86
68.39,179.35
64.92,158.41
68.44,182.45
72.67,206.98
66.05,161.56
61.31,150.32
68.27,159.98
75.26,223.45
66.47,182.47
66.53,179.22
67.75,179.12
71.78,210.73
69.00,200.31
68.31,185.28
73.96,215.04
68.75,194.13
73.57,207.21
66.93,169.10
69.35,195.17
67.02,183.38
72.06,200.07
67.88,175.46
63.94,153.95
66.12,172.51
73.82,208.87
64.76,160.98
67.01,188.97
70.88,194.07
67.41,168.63
66.93,175.04
64.68,176.07
67.32,168.74
68.30,194.55
73.80,227.44
66.26,176.49
67.71,177.26
65.85,178.03
71.81,211.36
65.34,155.73
67.97,192.06
75.16,214.37
63.41,163.07
65.10,156.66
67.73,164.93
72.31,201.91
69.44,197.65
64.88,176.80
66.98,188.02
66.91,182.00
68.13,175.64
70.39,176.06
70.51,206.44
69.77,197.83
68.41,177.11
67.29,174.09
68.23,175.67
67.53,180.27
74.41,220.72
69.00,181.94
68.34,187.63
69.00,188.33
64.83,164.60
73.06,216.04
71.60,211.03
70.25,190.92
71.02,198.27
69.37,187.57
64.13,157.66
70.53,204.42
63.40,141.06
71.41,207.30
69.88,217.99
66.88,169.64
71.25,191.07
73.57,199.47
68.17,201.44
73.58,215.07
69.90,171.92
64.88,161.61
72.03,209.57
67.41,163.48
67.63,177.43
69.55,199.81
66.30,179.76
68.70,178.02
70.55,181.68
66.34,163.00
68.37,176.51
72.37,224.60
67.19,193.79
67.53,164.00
68.62,189.70
68.56,186.06
70.30,196.59
68.90,195.41
69.38,198.85
72.61,200.63
67.57,178.37
69.24,202.20
70.06,184.51
69.30,193.53
74.69,230.14
67.55,172.87
67.05,171.35
72.74,202.87
68.36,204.36
67.09,168.32
74.21,197.47
60.82,137.78
69.63,200.34
67.73,194.18
69.79,194.40
69.99,208.11
64.44,166.49
64.80,185.26
69.56,197.19
68.00,193.91
70.49,203.29
74.05,207.73
71.81,197.80
67.27,182.90
67.59,174.43
62.29,149.50
71.95,215.16
68.41,179.83
69.57,203.22
71.09,182.78
72.13,216.22
72.54,213.72
64.73,161.95
70.96,212.23
70.73,197.81
66.35,171.96
70.68,203.27
66.85,164.70
70.17,192.63
71.62,208.67
70.24,198.20
67.85,168.07
72.09,209.53
68.89,175.99
69.74,196.22
69.33,194.83
68.56,178.69
68.63,193.13
74.09,217.71
72.38,216.94
68.42,190.13
68.61,181.23
65.06,173.43
75.57,217.12
70.34,199.13
73.42,220.21
73.28,209.23
65.35,172.57
74.69,224.63
68.96,207.74
69.73,191.21
66.94,175.94
74.00,213.37
70.53,181.86
72.77,210.66
69.63,189.65
69.75,204.18
66.66,184.47
68.88,199.99
67.90,170.85
71.97,211.54
75.46,217.97
63.66,160.13
69.10,184.90
71.05,194.00
75.70,249.57
71.14,191.44
69.92,197.27
67.78,182.61
67.99,185.69
70.76,198.66
65.64,172.54
73.85,217.89
71.79,197.42
62.17,147.86
64.81,158.01
62.76,140.27
69.00,191.24
69.72,204.22
67.56,171.20
73.28,202.28
69.77,197.98
70.89,224.70
67.52,188.41
71.05,191.98
70.38,207.80
70.80,195.88
69.45,190.45
65.09,152.52
72.62,207.16
68.97,177.81
66.54,173.47
75.82,230.94
72.28,198.84
66.85,180.54
63.65,160.88
68.38,188.78
69.63,200.56
72.70,203.19
73.74,208.16
65.93,162.55
66.63,160.12
68.47,201.09
73.46,211.79
63.18,148.62
67.94,191.33
74.71,207.24
64.64,172.50
71.20,183.64
67.40,180.66
67.37,170.48
70.84,201.40
68.52,192.12
71.14,211.82
67.20,185.75
70.72,176.96
69.18,201.12
73.45,203.24
71.65,200.68
69.94,182.35
74.70,209.37
67.87,168.82
71.69,188.66
72.20,195.28
68.10,173.90
66.57,163.24
70.19,181.32
76.46,239.58
66.14,166.00
65.92,152.95
71.85,200.41
69.12,197.49
73.36,217.39
69.05,194.68
71.87,203.49
71.86,204.42
60.80,128.39
69.04,181.38
68.31,188.83
70.99,198.64
71.94,198.93
69.94,187.40
71.91,204.78
71.01,194.08
72.28,205.93
66.28,174.21
68.25,183.45
72.37,218.39
67.50,175.21
70.75,206.38
71.67,189.39
71.52,214.30
66.08,175.55
70.47,200.36
70.95,216.34
66.63,159.48
65.26,167.76
69.73,182.48
71.85,212.81
66.97,169.39
69.23,175.91
65.25,174.94
72.70,181.33
72.81,188.95
66.58,178.49
62.59,144.64
67.77,164.16
68.48,174.46
67.73,169.46
76.62,255.86
73.58,222.69
67.65,167.86
69.75,201.01
65.71,170.90
68.77,172.98
70.70,187.37
69.21,184.93
74.63,213.07
70.35,202.03
68.12,167.88
71.10,210.82
69.98,206.41
65.27,156.58
67.68,169.61
74.07,228.41
68.76,172.09
69.25,192.41
68.81,174.24
67.75,179.55
71.47,192.93
70.66,195.44
68.37,187.92
71.47,204.60
69.38,212.02
74.46,209.95
72.28,196.71
73.07,208.06
68.11,176.26
67.43,189.40
70.82,194.33
67.24,176.75
71.22,209.73
65.80,158.46
64.52,171.30
67.48,180.29
71.36,211.40
68.18,190.13
67.47,178.37
65.66,163.20
67.70,155.16
62.21,130.84
67.45,186.84
69.58,194.09
69.93,204.88
68.86,199.28
70.94,192.21
71.57,207.82
66.50,161.76
69.01,191.03
68.07,171.06
70.42,188.24
71.22,200.71
70.19,188.53
66.48,165.59
70.39,178.85
68.85,174.89
69.57,187.47
69.21,201.53
71.68,206.40
68.51,200.88
70.06,225.01
70.90,199.36
67.11,170.79
67.63,174.87
70.99,214.79
66.88,175.37
68.48,187.21
66.27,163.64
65.77,156.97
64.46,158.90
65.85,154.97
69.90,177.71
69.13,196.33
70.48,194.16
73.51,209.70
72.31,194.89
73.75,204.00
73.54,212.03
63.09,154.89
72.27,209.63
71.12,174.55
72.01,205.96
66.70,189.43
63.57,144.82
70.70,187.02
75.68,232.10
68.16,183.23
70.23,191.71
71.57,194.72
71.66,204.43
74.67,207.91
66.81,174.34
68.02,185.40
68.21,168.17
72.06,203.93
66.70,164.18
65.10,180.79
68.23,174.71
70.28,198.73
68.99,166.80
72.82,202.95
70.48,190.52
69.27,172.30
66.12,181.01
60.97,134.82
66.08,169.62
69.34,198.39
70.80,192.29
64.84,161.19
66.91,169.88
71.20,191.68
67.66,173.38
68.50,182.18
67.14,188.85
68.03,176.67
71.03,217.49
65.62,168.04
68.68,177.52
72.26,204.42
69.81,217.19
66.40,170.22
67.59,174.01
71.09,188.12
65.82,172.75
68.56,186.40
69.72,205.15
72.06,205.68
67.65,180.87
69.76,189.83
66.92,175.20
71.69,196.73
69.03,183.56
68.64,203.01
68.21,190.58
67.46,166.39
68.16,191.83
70.95,193.51
